Page 1: P72572A (bbox: (36.20020294189453, 770.0149536132812, 110.38021087646484, 794.054931640625), font: MyriadPro-Regular, size: 20.0)
Page 1:  (bbox: (490.0430908203125, 233.16152954101562, 498.0621032714844, 242.6475372314453), font: Wingdings2, size: 9.0)
Page 1:  (bbox: (507.05108642578125, 233.16152954101562, 515.070068359375, 242.6475372314453), font: Wingdings2, size: 9.0)
Page 1: Candidate surname (bbox: (119.781494140625, 55.66741180419922, 193.0225830078125, 66.48541259765625), font: MyriadPro-Regular, size: 9.0)
Page 1: Other names (bbox: (367.76751708984375, 55.66741180419922, 416.3675231933594, 66.48541259765625), font: MyriadPro-Regular, size: 9.0)
Page 1: Centre Number (bbox: (114.37739562988281, 84.25151062011719, 185.0194091796875, 97.4735107421875), font: MyriadPro-Regular, size: 11.0)
Page 1: Candidate Number (bbox: (245.4753875732422, 84.25151062011719, 332.68341064453125, 97.4735107421875), font: MyriadPro-Regular, size: 11.0)
Page 1: Pearson Edexcel Level 1/Level 2 GCSE (9–1) (bbox: (112.49029541015625, 131.54312133789062, 490.4503479003906, 156.3231201171875), font: MyriadPro-Bold, size: 20.0)
Page 1: Thursday 25th May 2023 (bbox: (116.57839965820312, 162.8431396484375, 352.4381408691406, 190.10113525390625), font: MyriadPro-Bold, size: 22.0)
Page 1: Morning (Time: 1 hour 45 minutes) (bbox: (112.44039916992188, 204.84510803222656, 287.0632629394531, 219.26910400390625), font: MyriadPro-Regular, size: 12.0)
Page 1: 1PH0/1F (bbox: (390.4757080078125, 196.69235229492188, 500.4726867675781, 232.62335205078125), font: MyriadPro-Bold, size: 29.0)
Page 1: Paper (bbox: (313.41357421875, 199.17100524902344, 344.61358642578125, 214.03900146484375), font: MyriadPro-Bold, size: 12.0)
Page 1: reference (bbox: (313.41357421875, 213.17503356933594, 366.39361572265625, 228.04302978515625), font: MyriadPro-Bold, size: 12.0)
